shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,stop_id,travel_time
27.1,48.4686718,-123.3327337,38,,
27.1,48.46862911,-123.3327339,39,,
27.1,48.4685924,-123.3327341,40,,
27.1,48.46802789,-123.3327481,41,100980,60
27.1,48.4677408,-123.3327552,42,,
27.1,48.4663707,-123.3327785,43,,
27.1,48.46499209,-123.3328225,44,,
27.1,48.46464905,-123.3328287,45,100931,60
27.1,48.4641466,-123.3328378,46,,
27.1,48.4636339,-123.3328533,47,,
27.1,48.4629237,-123.3328718,48,,
27.1,48.46243486,-123.3328956,49,100898,45
27.1,48.4622194,-123.3329061,50,,
27.1,48.46126839,-123.3329584,51,,
27.1,48.46096763,-123.3329609,52,100867,45
27.1,48.4603181,-123.3329662,53,,
27.1,48.45920006,-123.3329707,54,,
